Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
32	8777.591	557.1332	9233.361	7218.012	9387.972	140.14774	9674.59	9155.768	1000.0	1000.0	319999	948.0817	157.278	1150.3772	221.88959	-950.9661	47.268787	2409.8440301418304
33	8585.494	916.3559	9207.598	6040.4263	9405.631	169.13358	9649.1875	9001.887	1000.0	1000.0	329999	954.94055	160.3625	1157.3629	217.15778	-957.7984	48.06949	2484.6993565559387
34	8767.853	766.8848	9481.559	7046.338	9660.484	172.65613	9876.448	9223.477	1000.0	1000.0	339999	962.5441	164.20149	1166.6824	224.28192	-965.3652	49.391186	2559.5843110084534
35	9191.416	198.18971	9446.284	8892.248	9612.639	137.20334	9817.018	9439.808	1000.0	1000.0	349999	968.2724	167.27443	1170.6396	177.06674	-971.1029	49.75192	2634.350323200226
36	9042.975	390.0767	9560.792	8131.7046	8793.408	1991.7532	9953.222	2862.5063	1000.0	1000.0	359999	974.72614	168.70082	1182.7668	172.29878	-977.5036	49.44422	2709.1781299114227
37	9248.967	220.97606	9592.047	8839.129	9374.891	178.5262	9536.673	8930.837	1000.0	1000.0	369999	981.8825	165.10162	1184.2231	229.44719	-984.7084	49.166294	2783.858626127243
38	8998.398	290.44186	9434.779	8380.405	9430.976	172.79579	9744.094	9168.899	1000.0	1000.0	379999	987.92334	165.16591	1183.2297	230.90817	-990.6567	48.892635	2858.862186908722
39	8841.283	666.4108	9678.085	7084.281	9450.863	138.34288	9668.908	9206.184	1000.0	1000.0	389999	991.77264	169.21036	1188.9703	238.2335	-994.4908	49.136135	2933.588944196701
40	9171.439	220.23572	9470.592	8712.991	10007.049	118.32042	10196.411	9817.3	1000.0	1000.0	399999	995.03406	176.78886	1196.5295	183.22418	-997.7052	52.0078	3008.3248748779297
41	9312.493	277.074	9778.08	8808.696	9720.764	125.614044	9939.958	9518.819	1000.0	1000.0	409999	1001.34686	172.3421	1213.723	131.40295	-1004.1011	52.563625	3083.4525735378265
42	9493.393	232.42215	9838.293	9098.623	9953.471	191.0607	10261.785	9597.984	1000.0	1000.0	419999	1007.5774	168.25809	1218.063	111.641914	-1010.22	49.99316	3158.252032995224
43	9337.975	294.046	9785.734	8764.252	10015.715	89.391464	10171.309	9845.454	1000.0	1000.0	429999	1008.86914	176.09724	1219.2944	44.700386	-1011.5057	52.681694	3232.9608812332153
44	8990.961	961.637	9809.828	6281.5034	8899.42	2720.3093	9961.546	743.9026	1000.0	1000.0	439999	1014.8205	173.06927	1224.2856	23.713099	-1017.4922	53.956875	3307.825258731842
45	9480.455	251.11983	9938.656	9020.392	10145.049	191.32886	10526.517	9877.442	1000.0	1000.0	449999	1020.1043	172.67337	1226.306	-12.008473	-1022.765	52.14969	3382.5283715724945
